,gas,contrast,sample,auc1,auc2,m1,lam1,mu1,Q,chi1,aic1,m1f,lam1f,mu1f,chi1f,aic1f,m2,lam2,mu2,chi2,aic2,m2f,lam2f,mu2f,chi2f,aic2f,cc_auc,cc_ldrw,cc_fpt
0,mix,air,s5,0.0016155309661539732,0.0024045644231915166,0.0006976050051623606,6.063684377584971,2.7731606471195476,2.8,1.4234995667702474e-05,-17661.365669639843,0.0006976050051623606,6.063684377584971,2.7731606471195476,1.4234995667702474e-05,-17661.365669639843,0.0002609442802556927,17.60784678914069,8.091172305521686,7.392438785758166e-07,-20557.082039737263,0.0002609442802556927,17.60784678914069,8.091172305521686,7.392438785758166e-07,-20557.082039737263,148.84050343621468,37.40573509717875,37.40573509717875
0,room,air,s5,0.0016828422937121411,0.0018553247994303117,0.0010460091935446947,2.479477187066692,3.8114808631099493,6.8,2.719830183469396e-05,-19353.55207958786,0.0010460091935446947,2.479477187066692,3.8114808631099493,2.719830183469396e-05,-19353.55207958786,0.0006466697533802357,8.819684272654133,6.2369640787043785,4.9579356723485196e-06,-21234.4444927584,0.0006466697533802357,8.819684272654133,6.2369640787043785,4.9579356723485196e-06,-21234.4444927584,110.24947532889107,61.82256880446857,61.82256880446857
0,hyper,air,s5,0.00266199886894362,0.00035430477062069405,0.0019137136627387363,2.1076229242678703,3.279317864916373,6.8,2.1800784530806226e-05,-9548.44077554081,0.0019137136627387363,2.1076229242678703,3.279317864916373,2.1800784530806226e-05,-9548.44077554081,0.0001415357549536811,9.386027322154465,5.574141267136647,7.660876545851825e-08,-12712.995026585406,0.0001415357549536811,9.386027322154465,5.574141267136647,7.660876545851825e-08,-12712.995026585406,13.309726565034016,7.395868969819014,7.395868969819014
0,mix,sf6,s2,0.0016722567382069261,0.0037414081640804253,0.0011914291132002486,4.259416588176406,3.206254784604117,6.8,8.83704790899878e-06,-19379.629947012498,0.0011914291132002486,4.259416588176406,3.206254784604117,8.83704790899878e-06,-19379.629947012498,0.0013127552791378783,11.633210029428255,5.903964708475383,1.0393557260360141e-05,-19210.4206713778,0.0013127552791378783,11.633210029428255,5.903964708475383,1.0393557260360141e-05,-19210.4206713778,223.73407614982267,110.1832467071197,110.1832467071197
0,hyper,sf6,s6,0.0029045054310462204,0.0012433663275615624,0.002075071357630076,3.773931724116295,3.047181154966757,6.8,3.669714257770052e-05,-17477.176962554102,0.002075071357630076,3.773931724116295,3.047181154966757,3.669714257770052e-05,-17477.176962554102,0.0004741559354248803,16.959054145467917,5.523906101806056,1.0503176595793965e-06,-21101.855329152142,0.0004741559354248803,16.959054145467917,5.523906101806056,1.0503176595793965e-06,-21101.855329152142,42.808194271948544,22.850102657019487,22.850102657019487
0,hyper,sf6,s3,0.002250375414163815,0.0016971494981284179,0.0010875635751590451,5.189235400866335,2.990708716118603,4.3,2.4422060245275258e-05,-21115.170426337267,0.0010875635751590451,5.189235400866335,2.990708716118603,2.4422060245275258e-05,-21115.170426337267,0.0003240358399083654,20.215377965620803,6.9497372186365745,5.482868546748918e-07,-25644.3275263784,0.0003240358399083654,20.215377965620803,6.9497372186365745,5.482868546748918e-07,-25644.3275263784,75.41628332084483,29.794657278861003,29.794657278861003
0,hyper,sf6,s3,0.0008199390138942993,0.007456432937654635,0.0003321708539087975,7.339070544443299,3.417457193577553,2.8,4.51000794920562e-06,-26649.885642063393,0.0003321708539087975,7.339070544443299,3.417457193577553,4.51000794920562e-06,-26649.885642063393,0.0006852833256274504,18.39787186113915,9.427069986995175,4.503585335502567e-06,-26651.8308971712,0.0006852833256274504,18.39787186113915,9.427069986995175,4.503585335502567e-06,-26651.8308971712,909.3887241979518,206.304471799204,206.304471799204
0,mix,sf6,s3,0.001695431544529937,0.0038023144136789086,0.0012093554078043134,2.8536303699645837,3.2593896006466103,6.8,1.4176822394857454e-05,-20476.310410426762,0.0012093554078043134,2.8536303699645837,3.2593896006466103,1.4176822394857454e-05,-20476.310410426762,0.0013354160278002958,9.509971977732729,5.691863563292258,7.595592661358965e-06,-21178.9797198365,0.0013354160278002958,9.509971977732729,5.691863563292258,7.595592661358965e-06,-21178.9797198365,224.26823577433854,110.42378602538818,110.42378602538818
0,room,air,s3,0.0015724492932609204,0.002062125698013316,0.0010063295531446137,4.204334043192059,3.729875110568603,6.8,1.931448007652277e-05,-18000.406235375962,0.0010063295531446137,4.204334043192059,3.729875110568603,1.931448007652277e-05,-18000.406235375962,0.0006649497775526036,12.764500017702058,6.3258827330304115,4.845267148599148e-06,-19401.236015192262,0.0006649497775526036,12.764500017702058,6.3258827330304115,4.845267148599148e-06,-19401.236015192262,131.14099811364426,66.07674150826092,66.07674150826092
0,hyper,air,s3,0.0006514477044049257,0.0010402983118254412,0.00019211748900183068,4.038534144156658,3.2971677963129338,2.8,1.2881880087365158e-06,-18664.17794786103,0.00019211748900183068,4.038534144156658,3.2971677963129338,1.2881880087365158e-06,-18664.17794786103,0.00010792009123550272,17.839385017387183,8.655595513756758,1.254087388289083e-07,-20797.92076160855,0.00010792009123550272,17.839385017387183,8.655595513756758,1.254087388289083e-07,-20797.92076160855,159.69022605977509,56.17400674775338,56.17400674775338
